code,population
pl_PL,36751008
pl_RO,2769
pl_SK,50597
pl_UA,1054149
pms,6177
pms_IT,6177
pnt,392462
pnt_GR,392462
pon,23560
pon_FM,23560
pqm,490
pqm_CA,490
prd,864342
prd_AF,439725
prd_IR,424616
prg,38
prg_PL,38
ps,53542641
ps_AE,289770
ps_AF,15756834
ps_IR,135877
ps_PK,37360160
pt,237496883
pt_AG,1570
pt_AO,21789941
pt_BR,192661560
pt_CA,229934
pt_CH,285735
pt_CV,443273
pt_FR,882026
pt_GB,131522
pt_GQ,0
pt_GW,1927100
pt_LU,100540
pt_MO,30722
pt_MZ,8126514
pt_PT,9890592
pt_ST,179453
pt_TL,816394
puu,200781
puu_GA,200781
qu,11385851
qu_BO,3724768
qu_EC,2873833
qu_PE,4787250
quc,1200731
quc_GT,1200731
qug,963579
qug_EC,963579
raj,1326090
raj_IN,1326090
rcf,559184
rcf_RE,559184
rej,1228319
rej_ID,1228319
rgn,0
rgn_IT,0
rhg,1824082
rhg_BD,862050
rhg_MM,962031
ria,172391
ria_IN,172391
rif,1949888
rif_MA,1742523
rif_NL,207364
rif_Tfng,1742523
rif_Tfng_MA,1742523
rjs,133442
rjs_NP,133442
